Timestamp, P1rms (A), P2rms (A), P3rms (A), P4rms (A), P5rms (A), Vrms (V), P1 theta, P2 theta, P3 theta, P4 theta, P5 theta
Mon Sep 30 00:00:13 2013, 354, 357, 245, 230, 239, 43, 2, 2, 0, 0, 58
Mon Sep 30 00:00:14 2013, 357, 361, 239, 224, 236, 43, 2, 2, 0, 0, 58
Mon Sep 30 00:00:15 2013, 356, 371, 166, 199, 231, 43, 2, 2, 7, 6, 56
Mon Sep 30 00:00:16 2013, 403, 406, 139, 145, 140, 43, 3, 3, 13, 14, 34
Mon Sep 30 00:00:17 2013, 392, 403, 141, 145, 147, 43, 3, 2, 13, 13, 37
Mon Sep 30 00:00:18 2013, 351, 354, 242, 227, 237, 43, 61, 61, 0, 0, 58
Mon Sep 30 00:00:19 2013, 354, 356, 244, 228, 239, 43, 2, 2, 0, 0, 58
Mon Sep 30 00:00:20 2013, 356, 359, 246, 231, 240, 43, 2, 2, 0, 0, 60
Mon Sep 30 00:00:21 2013, 355, 370, 167, 205, 228, 43, 2, 2, 10, 0, 56
Mon Sep 30 00:00:22 2013, 372, 373, 182, 172, 182, 43, 2, 2, 6, 6, 45
Mon Sep 30 00:00:23 2013, 363, 368, 195, 181, 199, 43, 2, 2, 39, 5, 48
Mon Sep 30 00:00:24 2013, 336, 337, 319, 302, 304, 43, 62, 61, 0, 0, 12
Mon Sep 30 00:00:25 2013, 347, 350, 279, 262, 272, 43, 2, 2, 0, 0, 4
Mon Sep 30 00:00:26 2013, 351, 352, 239, 270, 296, 43, 5, 4, 6, 0, 10
Mon Sep 30 00:00:27 2013, 401, 404, 140, 147, 143, 43, 3, 3, 13, 14, 35
Mon Sep 30 00:00:28 2013, 400, 403, 136, 142, 141, 43, 3, 3, 13, 14, 35
Mon Sep 30 00:00:29 2013, 348, 350, 245, 229, 239, 43, 9, 9, 0, 0, 58
Mon Sep 30 00:00:30 2013, 353, 356, 243, 227, 238, 43, 2, 2, 0, 0, 58
Mon Sep 30 00:00:31 2013, 355, 357, 244, 225, 234, 43, 2, 2, 0, 0, 58
Mon Sep 30 00:00:32 2013, 351, 365, 220, 234, 256, 43, 2, 2, 5, 0, 0
Mon Sep 30 00:00:33 2013, 368, 374, 172, 162, 166, 43, 3, 3, 9, 9, 40
Mon Sep 30 00:00:34 2013, 367, 371, 170, 157, 167, 43, 7, 7, 12, 13, 41
Mon Sep 30 00:00:35 2013, 334, 337, 317, 299, 308, 43, 2, 2, 0, 0, 12
Mon Sep 30 00:00:36 2013, 336, 339, 306, 290, 299, 43, 2, 2, 0, 0, 10
Mon Sep 30 00:00:37 2013, 346, 362, 187, 220, 254, 43, 2, 2, 41, 0, 62
Mon Sep 30 00:00:38 2013, 391, 396, 133, 131, 133, 43, 3, 3, 11, 12, 33
Mon Sep 30 00:00:39 2013, 385, 390, 133, 131, 141, 43, 3, 2, 11, 11, 35
Mon Sep 30 00:00:40 2013, 343, 346, 269, 237, 256, 43, 2, 2, 0, 0, 0
Mon Sep 30 00:00:41 2013, 343, 346, 289, 277, 289, 43, 2, 2, 0, 0, 8
Mon Sep 30 00:00:42 2013, 343, 346, 292, 271, 269, 43, 2, 2, 0, 0, 2
Mon Sep 30 00:00:43 2013, 352, 364, 210, 145, 202, 43, 3, 3, 0, 10, 50
Mon Sep 30 00:00:00 2013, 371, 382, 134, 131, 132, 42, 3, 2, 10, 11, 32
Mon Sep 30 00:00:01 2013, 383, 389, 133, 130, 134, 42, 3, 2, 10, 10, 32
Mon Sep 30 00:00:02 2013, 349, 352, 240, 226, 230, 42, 2, 2, 0, 0, 56
Mon Sep 30 00:00:03 2013, 353, 356, 236, 218, 227, 42, 2, 2, 0, 0, 56
Mon Sep 30 00:00:04 2013, 362, 362, 186, 216, 232, 42, 5, 5, 10, 0, 58
Mon Sep 30 00:00:05 2013, 385, 387, 136, 131, 134, 42, 3, 2, 11, 11, 33
Mon Sep 30 00:00:06 2013, 383, 388, 134, 131, 136, 42, 3, 2, 10, 10, 34
Mon Sep 30 00:00:07 2013, 334, 337, 291, 273, 282, 42, 2, 2, 0, 0, 6
Mon Sep 30 00:00:08 2013, 341, 343, 287, 271, 281, 42, 5, 5, 0, 0, 6
Mon Sep 30 00:00:09 2013, 340, 344, 293, 271, 281, 42, 2, 2, 0, 0, 6
Mon Sep 30 00:00:10 2013, 349, 356, 235, 257, 276, 42, 2, 3, 0, 0, 4
Mon Sep 30 00:00:11 2013, 392, 396, 133, 135, 133, 42, 3, 3, 13, 13, 33
Mon Sep 30 00:00:12 2013, 395, 399, 137, 141, 127, 42, 3, 3, 13, 13, 31
Mon Sep 30 00:00:13 2013, 342, 345, 275, 255, 270, 42, 2, 2, 0, 0, 2
Mon Sep 30 00:00:14 2013, 345, 348, 266, 247, 258, 42, 2, 2, 0, 0, 0
Mon Sep 30 00:00:15 2013, 342, 358, 185, 216, 259, 42, 2, 2, 41, 0, 0
Mon Sep 30 00:00:16 2013, 395, 397, 134, 138, 136, 42, 3, 3, 12, 13, 34
Mon Sep 30 00:00:17 2013, 391, 397, 134, 137, 140, 42, 3, 3, 13, 13, 34
Mon Sep 30 00:00:18 2013, 340, 344, 268, 249, 262, 42, 2, 2, 0, 0, 0
Mon Sep 30 00:00:19 2013, 343, 348, 277, 259, 263, 42, 2, 2, 0, 0, 0
Mon Sep 30 00:00:20 2013, 344, 347, 280, 260, 265, 42, 2, 2, 0, 0, 2
Mon Sep 30 00:00:21 2013, 342, 356, 182, 220, 253, 42, 2, 2, 40, 0, 62
Mon Sep 30 00:00:22 2013, 394, 398, 134, 138, 135, 42, 3, 3, 13, 13, 33
Mon Sep 30 00:00:23 2013, 343, 345, 272, 252, 261, 42, 2, 2, 0, 0, 0
Mon Sep 30 00:00:24 2013, 340, 344, 275, 257, 267, 42, 2, 2, 0, 0, 2
Mon Sep 30 00:00:25 2013, 343, 355, 186, 232, 265, 42, 2, 3, 40, 0, 2
Mon Sep 30 00:00:26 2013, 394, 396, 132, 134, 133, 42, 3, 3, 12, 13, 33
Mon Sep 30 00:00:27 2013, 393, 399, 134, 139, 130, 42, 3, 3, 13, 14, 33
Mon Sep 30 00:00:28 2013, 342, 344, 271, 253, 263, 42, 2, 2, 0, 0, 0
Mon Sep 30 00:00:29 2013, 337, 340, 292, 276, 286, 42, 2, 2, 0, 0, 6
Mon Sep 30 00:00:30 2013, 341, 345, 280, 264, 276, 42, 2, 2, 0, 0, 4
Mon Sep 30 00:00:31 2013, 359, 361, 191, 225, 253, 42, 5, 5, 9, 0, 62
Mon Sep 30 00:00:32 2013, 370, 363, 187, 176, 185, 42, 9, 9, 6, 7, 46
Mon Sep 30 00:00:33 2013, 368, 372, 166, 153, 169, 42, 2, 2, 8, 9, 43
Mon Sep 30 00:00:34 2013, 336, 338, 298, 280, 288, 42, 2, 2, 0, 0, 8
Mon Sep 30 00:00:35 2013, 340, 341, 309, 290, 300, 42, 2, 2, 0, 0, 10
Mon Sep 30 00:00:36 2013, 347, 355, 233, 265, 286, 42, 2, 3, 3, 0, 6
Mon Sep 30 00:00:37 2013, 121, 121, 216, 195, 205, 42, 8, 8, 0, 40, 50
Mon Sep 30 00:00:38 2013, 119, 120, 215, 200, 226, 42, 8, 8, 0, 40, 56
Mon Sep 30 00:00:39 2013, 71, 70, 365, 347, 357, 42, 8, 8, 0, 0, 24
Mon Sep 30 00:00:40 2013, 62, 61, 377, 359, 368, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:41 2013, 60, 60, 381, 363, 372, 42, 8, 8, 0, 0, 28
Mon Sep 30 00:00:42 2013, 94, 78, 339, 351, 369, 42, 12, 11, 0, 0, 28
Mon Sep 30 00:00:43 2013, 112, 113, 265, 245, 252, 42, 8, 8, 0, 0, 62
Mon Sep 30 00:00:00 2013, 114, 115, 259, 242, 264, 42, 11, 11, 0, 0, 2
Mon Sep 30 00:00:01 2013, 44, 50, 394, 381, 388, 42, 8, 8, 0, 0, 32
Mon Sep 30 00:00:02 2013, 53, 49, 399, 377, 393, 42, 8, 8, 0, 0, 34
